Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Skenario deteksi double booking dan harga,,,,26-11-2025 22:18:55,26-11-2025 22:18:57,1.721s,PASSED
,,,,,,,
Test Cases/Mock/DataTabel,,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.386s,PASSED
"println(""=== MOCK DATA LOADED ==="")",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.007s,PASSED
"bookingList = [[""id"":1001, ""booking_id"":""BK/000001"", ""venue_id"":15, ""user_id"":12, ""date"":""2022-12-10"", ""start_time"":""09:00"", ""end_time"":""11:00"", ... ], [""id"":1005, ""booking_id"":""BK/000005"", ""venue_id"":15, ""user_id"":12, ""date"":""2022-12-10"", ""start_time"":""09:00"", ""end_time"":""11:00"", ... ]]",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.002s,PASSED
"scheduleList = [[""id"":11, ""venue_id"":15, ""date"":""2022-12-10"", ""start_time"":""07:00"", ""end_time"":""09:00"", ""price"":800000], [""id"":12, ""venue_id"":15, ""date"":""2022-12-10"", ""start_time"":""09:00"", ""end_time"":""11:00"", ""price"":1000000], [""id"":13, ""venue_id"":15, ""date"":""2022-12-10"", ""start_time"":""11:00"", ""end_time"":""13:00"", ""price"":1200000]]",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.002s,PASSED
"return [bookingList, scheduleList]",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.001s,PASSED
,,,,,,,
Test Cases/Booking/TC_DetectDoubleBooking,,,,26-11-2025 22:18:56,26-11-2025 22:18:57,0.492s,PASSED
"println(""=== TC: DETECT DOUBLE BOOKING ==="")",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.003s,PASSED
"mock = callTestCase(findTestCase(""Mock/DataTabel""), [:])",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.192s,PASSED
bookingList = mock[0],,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.015s,PASSED
"checkDate = ""2022-12-10""",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.001s,PASSED
"checkStart = ""09:00""",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.003s,PASSED
"checkEnd = ""11:00""",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.003s,PASSED
conflicting = bookingList.findAll({ java.lang.Object b -> ... }),,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.012s,PASSED
"println(""Jumlah booking bentrok: "" + conflicting.size())",,,,26-11-2025 22:18:56,26-11-2025 22:18:56,0.005s,PASSED
conflicting.each({ -> ... }),,,,26-11-2025 22:18:56,26-11-2025 22:18:57,0.006s,PASSED
try,,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.008s,PASSED
catch (AssertionError e),,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.030s,PASSED
,,,,,,,
Test Cases/Booking/TC_ValidatePrice,,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.236s,PASSED
"println(""=== TC: VALIDATE BOOKING PRICE ==="")",,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.001s,PASSED
"mock = callTestCase(findTestCase(""Mock/DataTabel""), [:])",,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.079s,PASSED
bookingList = mock[0],,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.002s,PASSED
scheduleList = mock[1],,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.003s,PASSED
validatePrice = { java.lang.String bookingId -> ... },,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.004s,PASSED
"validatePrice.call(""BK/000001"")",,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.034s,PASSED
"validatePrice.call(""BK/000005"")",,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.002s,PASSED
"println(""
=== VALIDASI HARGA SELESAI ==="")",,,,26-11-2025 22:18:57,26-11-2025 22:18:57,0.002s,PASSED
